,DocID,TokenID,Token,StrtCpt,AllCpt,CptRatio,Length,VwlRatio,NoVwl,NoCns,NoDigit,DigitRatio,NoNonAlpha,NonAlphaRatio,AllCns,Hashtag,Mention,AllDigit,PrevToken,PrevStrtCpt,PrevAllCpt,PrevCptRatio,PrevLength,PrevVwlRatio,PrevNoVwl,PrevNoCns,PrevNoDigit,PrevDigitRatio,PrevNoNonAlpha,PrevNonAlphaRatio,PrevAllCns,PrevHashtag,PrevMention,PrevAllDigit,NextToken,NextStrtCpt,NextAllCpt,NextCptRatio,NextLength,NextVwlRatio,NextNoVwl,NextNoCns,NextNoDigit,NextDigitRatio,NextNoNonAlpha,NextNonAlphaRatio,NextAllCns,NextHashtag,NextMention,NextAllDigit,Targets
0,1,1,2025,False,False,0.0,4,0.0,0,0,4,1.0,0,0.0,False,False,False,True,,,,,,,,,,,,,,,,,yılına,False,False,0.0,6,0.5,3,3,0,0.0,0,0.0,False,False,False,False,Date
1,1,2,yılına,False,False,0.0,6,0.5,3,3,0,0.0,0,0.0,False,False,False,False,2025,False,False,0.0,4,0.0,0,0,4,1.0,0,0.0,False,False,False,True,,,,,,,,,,,,,,,,,Date
2,1,12,kalabileceği,False,False,0.0,12,0.5,6,6,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,tahmin,False,False,0.0,6,0.3333333333333333,2,4,0,0.0,0,0.0,False,False,False,False,Event/Activity
3,1,13,tahmin,False,False,0.0,6,0.3333333333333333,2,4,0,0.0,0,0.0,False,False,False,False,kalabileceği,False,False,0.0,12,0.5,6,6,0,0.0,0,0.0,False,False,False,False,ediliyor,False,False,0.0,8,0.5,4,4,0,0.0,0,0.0,False,False,False,False,Event/Activity
4,1,14,ediliyor,False,False,0.0,8,0.5,4,4,0,0.0,0,0.0,False,False,False,False,tahmin,False,False,0.0,6,0.3333333333333333,2,4,0,0.0,0,0.0,False,False,False,False,Dünyada,True,False,0.14285714285714285,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,Event/Activity
5,1,15,Dünyada,True,False,0.14285714285714285,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,ediliyor,False,False,0.0,8,0.5,4,4,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,Place
6,2,1,Türkiye,True,False,0.14285714285714285,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,İran,True,False,0.25,4,0.5,2,2,0,0.0,0,0.0,False,False,False,False,Place
7,2,2,İran,True,False,0.25,4,0.5,2,2,0,0.0,0,0.0,False,False,False,False,Türkiye,True,False,0.14285714285714285,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,Place
8,2,9,geldi,False,False,0.0,5,0.4,2,3,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Event/Activity
9,3,1,İdlib,True,False,0.2,5,0.4,2,3,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Place
10,3,10,kaybetti,False,False,0.0,8,0.375,3,5,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Event/Activity
11,4,1,Yer,True,False,0.3333333333333333,3,0.3333333333333333,1,2,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,altında,False,False,0.0,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,Place
12,4,2,altında,False,False,0.0,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,Yer,True,False,0.3333333333333333,3,0.3333333333333333,1,2,0,0.0,0,0.0,False,False,False,False,depolanmış,False,False,0.0,10,0.4,4,6,0,0.0,0,0.0,False,False,False,False,Place
13,4,3,depolanmış,False,False,0.0,10,0.4,4,6,0,0.0,0,0.0,False,False,False,False,altında,False,False,0.0,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,Event/Activity
14,4,8,büyük,False,False,0.0,5,0.4,2,3,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Place
15,4,10,Türkiye,True,False,0.14285714285714285,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Address
16,4,12,NATO,True,True,1.0,4,0.5,2,2,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company
17,4,14,ABD,True,True,1.0,3,0.3333333333333333,1,2,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Address
18,4,16,Terör,True,False,0.2,5,0.4,2,3,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Event/Activity
19,4,18,YPG,True,True,1.0,3,0.0,0,3,0,0.0,0,0.0,True,False,False,False,,,,,,,,,,,,,,,,,PKK,True,True,1.0,3,0.0,0,3,0,0.0,0,0.0,True,False,False,False,Name
20,4,19,PKK,True,True,1.0,3,0.0,0,3,0,0.0,0,0.0,True,False,False,False,YPG,True,True,1.0,3,0.0,0,3,0,0.0,0,0.0,True,False,False,False,,,,,,,,,,,,,,,,,Name
21,4,21,verilen,False,False,0.0,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Event/Activity
22,4,23,Afrin,True,False,0.2,5,0.4,2,3,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Place
23,4,26,çıktı,False,False,0.0,5,0.4,2,3,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Event/Activity
24,5,1,15,False,False,0.0,2,0.0,0,0,2,1.0,0,0.0,False,False,False,True,,,,,,,,,,,,,,,,,yılda,False,False,0.0,5,0.4,2,3,0,0.0,0,0.0,False,False,False,False,Date
25,5,2,yılda,False,False,0.0,5,0.4,2,3,0,0.0,0,0.0,False,False,False,False,15,False,False,0.0,2,0.0,0,0,2,1.0,0,0.0,False,False,False,True,yapılan,False,False,0.0,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,Date
26,5,3,yapılan,False,False,0.0,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,yılda,False,False,0.0,5,0.4,2,3,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,Event/Activity
27,5,14,sunuldu,False,False,0.0,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,Türkiye,True,False,0.14285714285714285,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,Event/Activity
28,5,15,Türkiye,True,False,0.14285714285714285,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,sunuldu,False,False,0.0,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,Address
29,5,23,yatırım,False,False,0.0,7,0.42857142857142855,3,4,0,0.0,0,0.0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Event/Activity
